sku_code,total_qty,sum_by_location
NQ-ACC-BAG-001-FREE-BEG,356,362
NQ-ACC-BAG-001-FREE-BLK,339,342
NQ-ACC-BAG-001-FREE-WHT,324,334
NQ-ACC-BLT-002-FREE-BLK,117,118
NQ-ACC-BLT-002-FREE-BRN,82,84
NQ-ACC-BLT-002-FREE-WHT,89,91
NQ-ACC-CAP-004-FREE-BRN,23,29
NQ-ACC-CAP-004-FREE-WHT,80,82
NQ-ACC-PCH-005-FREE-BLK,103,104
NQ-ACC-PCH-005-FREE-BRN,100,103
NQ-ACC-PCH-005-FREE-WHT,95,101
NQ-ACC-SCF-003-FREE-BLK,114,116
NQ-ACC-SCF-003-FREE-BRN,51,55
NQ-CLR-COOL-002-M-ASH,2197,2213
NQ-CLR-COOL-002-M-CRM,1894,1909
NQ-CLR-COOL-002-M-IVR,997,1013
NQ-CLR-COOL-002-S-ASH,2357,2378
NQ-CLR-COOL-002-S-IVR,2272,2290
NQ-CLR-COOL-005-L-IVR,286,289
NQ-CLR-COOL-005-M-ASH,370,378
NQ-CLR-COOL-005-M-IVR,290,296
NQ-CLR-COOL-005-S-ASH,747,752
NQ-CLR-COOL-005-S-CRM,717,722
NQ-CLR-MUT-003-M-ASH,2294,2314
NQ-CLR-MUT-003-M-CRM,2399,2418
NQ-CLR-MUT-003-M-IVR,2287,2304
NQ-CLR-MUT-003-S-ASH,2299,2312
NQ-CLR-MUT-003-S-CRM,2271,2290
NQ-CLR-MUT-003-S-IVR,2231,2252
NQ-CLR-MUT-006-L-IVR,314,321
NQ-CLR-MUT-006-M-ASH,554,562
NQ-CLR-MUT-006-S-ASH,444,452
NQ-CLR-MUT-006-S-IVR,816,822
NQ-CLR-WRM-001-L-ASH,982,994
NQ-CLR-WRM-001-M-ASH,2228,2249
NQ-CLR-WRM-001-M-CRM,2294,2315
NQ-CLR-WRM-001-M-IVR,2214,2225
NQ-CLR-WRM-001-S-ASH,2279,2296
NQ-CLR-WRM-001-S-CRM,2357,2377
NQ-CLR-WRM-001-S-IVR,2260,2279
NQ-CLR-WRM-004-M-ASH,579,587
NQ-CLR-WRM-004-M-CRM,761,769
NQ-CLR-WRM-004-M-IVR,361,368
NQ-CLR-WRM-004-S-ASH,272,277
NQ-CLR-WRM-004-S-CRM,304,310
NQ-CLR-WRM-004-S-IVR,672,678
NQ-OUT-001-L-BEG,3803,3823
NQ-OUT-001-L-BLK,3794,3826
NQ-OUT-001-L-GRY,4064,4089
NQ-OUT-001-L-NVY,3500,3526
NQ-OUT-001-S-BLK,2249,2260
NQ-OUT-001-S-NVY,2240,2241
NQ-OUT-002-L-BEG,653,656
NQ-OUT-002-L-BLK,1277,1285
NQ-OUT-002-L-GRY,679,687
NQ-OUT-002-L-NVY,575,577
NQ-OUT-002-M-GRY,732,734
NQ-OUT-002-S-BLK,711,714
NQ-OUT-003-L-BEG,303,309
NQ-OUT-003-L-BLK,257,265
NQ-OUT-003-L-GRY,287,296
NQ-OUT-003-L-NVY,419,426
NQ-OUT-003-M-BEG,222,223
NQ-OUT-003-M-BLK,34,38
NQ-OUT-003-M-GRY,185,189
NQ-OUT-003-S-BLK,216,220
NQ-OUT-003-S-GRY,225,228
NQ-OUT-003-S-NVY,226,227
NQ-PNT-001-2XL-BEG,2728,2754
NQ-PNT-001-2XL-BLK,1341,1367
NQ-PNT-001-2XL-GRY,2616,2648
NQ-PNT-001-2XL-KHK,2671,2700
NQ-PNT-001-2XL-NVY,2659,2683
NQ-PNT-001-3XL-BEG,2680,2711
NQ-PNT-001-3XL-BLK,2733,2754
NQ-PNT-001-3XL-GRY,2715,2738
NQ-PNT-001-3XL-KHK,2640,2671
NQ-PNT-001-3XL-NVY,2677,2703
NQ-PNT-001-4XL-BEG,2374,2399
NQ-PNT-001-4XL-BLK,2431,2457
NQ-PNT-001-4XL-GRY,2427,2446
NQ-PNT-001-4XL-KHK,2429,2454
NQ-PNT-001-4XL-NVY,1658,1681
NQ-PNT-001-L-BLK,1963,1977
NQ-PNT-001-L-GRY,2055,2063
NQ-PNT-001-L-KHK,2033,2049
NQ-PNT-001-L-NVY,2025,2029
NQ-PNT-001-M-BEG,2035,2048
NQ-PNT-001-M-BLK,2159,2161
NQ-PNT-001-M-GRY,2140,2153
NQ-PNT-001-M-KHK,1996,2008
NQ-PNT-001-M-NVY,2074,2078
NQ-PNT-001-S-BEG,1762,1788
NQ-PNT-001-S-BLK,1729,1758
NQ-PNT-001-S-GRY,1704,1726
NQ-PNT-001-S-KHK,1878,1905
NQ-PNT-001-S-NVY,2358,2386
NQ-PNT-001-XL-BEG,2775,2805
NQ-PNT-001-XL-BLK,1918,1944
NQ-PNT-001-XL-GRY,2122,2146
NQ-PNT-001-XL-KHK,1778,1807
NQ-PNT-001-XL-NVY,1873,1899
NQ-PNT-001-XS-BEG,1654,1677
NQ-PNT-001-XS-BLK,1663,1695
NQ-PNT-001-XS-GRY,1654,1678
NQ-PNT-001-XS-KHK,1596,1626
NQ-PNT-001-XS-NVY,1736,1763
NQ-PNT-002-2XL-BEG,743,751
NQ-PNT-002-2XL-BLK,451,460
NQ-PNT-002-2XL-GRY,855,864
NQ-PNT-002-3XL-BEG,878,885
NQ-PNT-002-3XL-BLK,775,784
NQ-PNT-002-3XL-GRY,797,806
NQ-PNT-002-4XL-BEG,693,702
NQ-PNT-002-4XL-BLK,786,795
NQ-PNT-002-4XL-GRY,537,546
NQ-PNT-002-L-BEG,650,654
NQ-PNT-002-L-BLK,606,612
NQ-PNT-002-L-GRY,656,658
NQ-PNT-002-M-BEG,702,703
NQ-PNT-002-M-BLK,642,648
NQ-PNT-002-M-GRY,616,621
NQ-PNT-002-S-BEG,945,956
NQ-PNT-002-S-BLK,861,871
NQ-PNT-002-S-GRY,642,650
NQ-PNT-002-XL-BEG,617,626
NQ-PNT-002-XL-BLK,751,760
NQ-PNT-002-XL-GRY,548,557
NQ-PNT-002-XS-BEG,501,512
NQ-PNT-002-XS-BLK,549,558
NQ-PNT-002-XS-GRY,549,557
NQ-PNT-003-2XL-BEG,858,865
NQ-PNT-003-2XL-BLK,744,755
NQ-PNT-003-2XL-GRY,442,453
NQ-PNT-003-3XL-BEG,868,875
NQ-PNT-003-3XL-BLK,912,922
NQ-PNT-003-3XL-GRY,823,832
NQ-PNT-003-4XL-BEG,795,804
NQ-PNT-003-4XL-BLK,569,578
NQ-PNT-003-4XL-GRY,675,683
NQ-PNT-003-L-BEG,510,514
NQ-PNT-003-L-BLK,633,636
NQ-PNT-003-L-GRY,632,636
NQ-PNT-003-M-BEG,635,640
NQ-PNT-003-M-BLK,620,627
NQ-PNT-003-M-GRY,639,647
NQ-PNT-003-S-BEG,760,770
NQ-PNT-003-S-BLK,510,522
NQ-PNT-003-S-GRY,655,661
NQ-PNT-003-XL-BEG,878,887
NQ-PNT-003-XL-BLK,919,928
NQ-PNT-003-XL-GRY,524,528
NQ-PNT-003-XS-BEG,502,510
NQ-PNT-003-XS-BLK,442,450
NQ-PNT-003-XS-GRY,518,530
